,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
ROCK,46.4,1.0921943270869048,True,False,0.7358629846442004,1.366303394216431,1.8567361352970582,18.31175964202625,18,835.1999999999999,75024.93961245434,0.04176,3.7512469806227173
ONB,20.2,0.38358956473607,True,False,0.9022599818779257,1.352585853054807,1.4991087715533964,52.13906174366621,52,1050.3999999999999,76075.33961245434,0.05251999999999999,3.8037669806227172
SONC,35.92,1.2135236223174586,True,False,0.5282014571560778,1.3519908671618306,2.5596121495786255,16.480931752944475,16,574.72,76650.05961245434,0.028736,3.832502980622717
GBCI,44.31,0.70063144409545,True,False,0.8054409913437939,1.3460440296232064,1.671188881729837,28.54567857116518,28,1240.68,77890.73961245433,0.062034000000000006,3.8945369806227172
SSD,73.57,1.4112206788696962,True,False,0.6764284575342316,1.3345926754743667,1.9729990076693775,14.172127931131799,14,1029.98,78920.71961245433,0.051499,3.9460359806227174
FFIN,61.0,0.9138099326171863,True,False,0.7941318969401262,1.3332498035752625,1.678877033793019,21.886389374997535,21,1281.0,80201.71961245433,0.06405,4.010085980622717
CTRE,17.719662374821173,0.30993564464645107,True,False,0.8402976122632264,1.3327115946071342,1.5859995020307842,64.52952522713012,64,1134.058391988555,81335.77800444288,0.056702919599427755,4.066788900222146
BFS,53.78,1.4065590453786183,True,False,0.7602414368343611,1.3254675897521904,1.7434824327274585,14.219097353724237,14,752.9200000000001,82088.69800444288,0.037646000000000006,4.104434900222145
PMT,20.27,0.2073459736053353,True,False,0.9286472418743097,1.324006521966694,1.4257367730877246,96.45714190750687,96,1945.92,84034.61800444288,0.09729600000000001,4.201730900222145
NSIT,55.48,1.1470433217778133,True,False,0.8053436056536603,1.3164161675457873,1.6346018746585975,17.43613307385968,17,943.16,84977.77800444288,0.047158,4.248888900222145
CRVL,58.8,1.4163764048361718,True,False,0.8318200856676436,1.3089087998116289,1.5735479611087528,14.120540226249634,14,823.1999999999999,85800.97800444288,0.041159999999999995,4.2900489002221445
MTRX,24.7,0.8525485782552303,True,False,0.6905907099350705,1.3065792224031287,1.8919733549933992,23.459073781966396,23,568.1,86369.07800444288,0.028405,4.318453900222145
CNMD,77.91,1.8313672379836228,True,False,0.8348002172571635,1.2974818707172093,1.5542423730796837,10.920802548603227,10,779.0999999999999,87148.17800444289,0.038955,4.357408900222144
RPT,13.56,0.2548786689090683,True,False,0.789545434065091,1.2943711786333696,1.6393878335400014,78.46870860399578,78,1057.68,88205.85800444288,0.052884,4.410292900222144
HLX,9.74,0.30297276007153634,True,False,0.6358512176484516,1.2838838731991713,2.0191576858928073,66.0125352367576,66,642.84,88848.69800444288,0.032142000000000004,4.442434900222144
SAFT,91.9,1.8363133940371097,True,False,0.8284459858364108,1.2794919054304807,1.5444481925260192,10.891387093806616,10,919.0,89767.69800444288,0.04595,4.488384900222145
VIAV,11.25,0.21578745659848741,True,False,0.8001865426695228,1.2737142260937695,1.5917716159590722,92.68379318828391,92,1035.0,90802.69800444288,0.05175,4.540134900222145
HFWA,37.0,0.6044373026233629,True,False,0.8460738984619322,1.265592926762423,1.4958420642252759,33.08862625320529,33,1221.0,92023.69800444288,0.06105,4.601184900222145
CHCT,29.96,0.5003399782455966,True,False,0.7708639605002987,1.2572306847798762,1.6309371681663785,39.97282022141915,39,1168.44,93192.13800444288,0.058422,4.659606900222145
RUTH,30.75,0.7331206445763625,True,False,0.7885339412482835,1.2563705402093654,1.593299253828537,27.28063947995504,27,830.25,94022.38800444288,0.0415125,4.701119400222145
GNL,20.7,0.37775367664820325,True,False,0.7984066312941084,1.2516961710656218,1.5677427040364043,52.94455418001324,52,1076.3999999999999,95098.78800444287,0.05381999999999999,4.754939400222145
SIGI,63.8,1.0660821358317045,True,False,0.7883894630556383,1.2447940000267963,1.5789074541943093,18.76028058982246,18,1148.3999999999999,96247.18800444287,0.05741999999999999,4.812359400222144
VRA,15.4,0.5567715560228702,True,False,0.5815601417074066,1.2346268916677978,2.1229565149410825,35.92137526360716,35,539.0,96786.18800444287,0.02695,4.839309400222144
DNR,5.59,0.24969852142790389,True,False,0.5970657604753399,1.2312074751040156,2.062096935727513,80.09658962187589,80,447.2,97233.38800444287,0.022359999999999998,4.861669400222144
WWW,38.84042933810376,0.7447502945098037,True,False,0.7619357275389704,1.2197919167091515,1.6009118257901396,26.854638591534957,26,1009.8511627906978,98243.23916723357,0.05049255813953489,4.912161958361679
MMSI,61.4,1.3774671691986407,True,False,0.7222797111401394,1.2097673464242062,1.6749291552362082,14.519402311152911,14,859.6,99102.83916723357,0.042980000000000004,4.955141958361679
HI,52.15,0.8192552558803016,True,False,0.8281048421106393,1.2044623258420943,1.4544804771002313,24.412415857509163,24,1251.6,100354.43916723358,0.06258,5.017721958361679
BANR,65.14,1.000348662205182,True,False,0.8372659436175937,1.2027716366001948,1.4365467098821105,19.993029186355617,19,1237.66,101592.09916723358,0.06188300000000001,5.079604958361679
AMPH,19.18,0.4299412018228356,True,False,0.7267728416734404,1.199171129198839,1.6499944142624698,46.51798877429136,46,882.28,102474.37916723358,0.044114,5.123718958361679
NWN,69.5,1.1437876056326692,True,False,0.7740197284630241,1.1890607868836185,1.536215090078833,17.4857638791577,17,1181.5,103655.87916723358,0.059075,5.182793958361679
ITRI,66.05,1.2476953230313987,True,False,0.7992703129028765,1.1881079950248867,1.4864908352592094,16.02955435579259,16,1056.8,104712.67916723358,0.05284,5.235633958361679
EGL,35.27,1.0070121695298786,True,False,0.6983030850310802,1.186026994436165,1.6984415791079845,19.860733172010182,19,670.1300000000001,105382.80916723359,0.03350650000000001,5.2691404583616785
LTC,44.38,0.6908418287930072,True,False,0.7759930147672915,1.1843809947046877,1.5262779073595985,28.950186810405892,28,1242.64,106625.44916723359,0.06213200000000001,5.331272458361679
DIN,81.1,2.90471415798869,True,False,0.6046928636865223,1.1827685749121073,1.9559823605347924,6.885359079135205,6,486.59999999999997,107112.04916723359,0.024329999999999997,5.355602458361679
SSP,16.37,0.4400747509696304,True,False,0.6571486091559172,1.1745135515220635,1.7872875863355813,45.44682455863096,45,736.6500000000001,107848.69916723359,0.036832500000000004,5.392434958361679
MSTR,148.12,3.323550100786137,True,False,0.7741682219378614,1.1744274135024273,1.51701836916356,6.0176616550083875,6,888.72,108737.41916723359,0.044436,5.436870958361679
AXE,72.7,1.4817598700732897,True,False,0.7217400863364977,1.1699273778538062,1.6209815694071754,13.497463660566522,13,945.1,109682.5191672336,0.047255,5.484125958361679
HT,22.59097603485839,0.3725545768583328,True,False,0.775485343773809,1.1676255720469833,1.5056707150194093,53.68340974000483,53,1197.3217298474947,110879.84089708109,0.05986608649237474,5.543992044854053
IIIN,36.19,1.1204415313328542,True,False,0.5464058155295628,1.1608047099776753,2.1244369605631896,17.850105909773276,17,615.23,111495.07089708108,0.0307615,5.574753544854053
CTB,30.05,0.8219206080537497,True,False,0.6887848848789425,1.1557977741226444,1.6780242997431365,24.33325044295774,24,721.2,112216.27089708108,0.03606,5.610813544854053
VRTU,53.42,1.4134968479725125,True,False,0.7111936894362725,1.1528409099719743,1.620994290438338,14.14930640184132,14,747.88,112964.15089708108,0.037394,5.648207544854053
GTY,28.44,0.443100615494396,True,False,0.7405070512591312,1.1442985529328846,1.5452905559604884,45.136475330066304,45,1279.8,114243.95089708109,0.06398999999999999,5.712197544854053
ATU,29.757183908045977,0.5430849487771455,True,False,0.6603542171129578,1.1425677086626105,1.730234590850151,36.82665123574799,36,1071.2586206896551,115315.20951777074,0.05356293103448276,5.765760475888536
SNBR,36.57,1.1541945247332586,True,False,0.6235163805761053,1.1360102019606815,1.8219412309762442,17.32810160802151,17,621.69,115936.89951777074,0.0310845,5.796844975888536
ARI,18.908809523809524,0.15320729156505544,True,False,0.9024534030941054,1.1353722397732608,1.2580951391845627,130.54208971188245,130,2458.1452380952383,118395.04475586598,0.12290726190476191,5.919752237793298
BCPC,116.06,2.384364878386377,True,False,0.7240827240294623,1.1323066065112533,1.5637807241278425,8.38797793965789,8,928.48,119323.52475586598,0.046424,5.966176237793298
MPAA,24.99,0.8669889996539129,True,False,0.5293372058206003,1.127555602401037,2.1301272421481388,23.06834343686443,23,574.77,119898.29475586598,0.0287385,5.994914737793298
FORR,45.25,1.0625772785829377,True,False,0.7252902102116274,1.120692734334021,1.5451645679968875,18.822160423637303,18,814.5,120712.79475586598,0.040725,6.035639737793298
RGNX,69.35,4.329882254115799,True,False,0.43150095777874786,1.1163946307616572,2.587235579982394,4.619063250735944,4,277.4,120990.19475586597,0.013869999999999999,6.049509737793298
MYE,25.45,0.6494346488274203,True,False,0.5599509140627572,1.0910440902562715,1.9484638079079757,30.79601625215221,30,763.5,121753.69475586597,0.038175,6.087684737793298
